# GENERATED by backend/scripts/reconcile_twda.py — do not hand-edit.
# Human decisions belong in backend/src/data/twda_rulings.tsv, which
# is an input to this file.
#
# twda_id<TAB>action[<TAB>target]
#   attach:<tournament_uid>  we already hold this event
#   create<TAB><user_uid>    reconstruct it, won by that member
#   create                   reconstruct nothing: winner unresolved
#   review<TAB><uids>        UNDECIDED, with the candidates
#
# The consumer creates only `create` lines carrying a winner. Every
# other shape is logged and skipped, never guessed at.
10588	attach:019f1a19-e9cc-71ae-aec9-2594b970205a
10589	attach:019f1a19-e9e4-72f0-aaf4-01d42d2258d4
10590	attach:019f1a19-e9ed-702e-a5c6-1f34187a6efa
10595	attach:019f1a19-eadb-736c-a2d9-e11c6a8be21a
10596	attach:019f1a19-eae0-7684-afe7-fca1bc162643
10597	attach:019f1a19-eae7-7352-a0a6-8e187d2d1137
10602	attach:019f1a19-eb7c-75d6-a630-29c0947ac348
10607	attach:019f1a19-eb8c-72ef-87fb-ffbf99700a46
10608	attach:019f1a19-eb90-737a-8481-a78a6f8a593d
10609	attach:019f1a19-eb95-7478-bbba-0b5322c3e8a6
10610	attach:019f1a19-eb9c-764e-8423-a76d3fc6d933
10611	attach:019f1a19-ec17-73e5-9410-4fc095fb4c40
10612	attach:019f1a19-ec21-7466-a6bd-1bfb33e2c2f8
10613	attach:019f1a19-ec29-7356-9aec-e593bad78b05
10614	attach:019f1a19-ec30-764b-9013-fbb3ae30726f
10615	attach:019f1a19-ec38-730d-b217-fef158869b03
10616	attach:019f1a19-ec43-77ec-b9ec-83f0a5cc33b7
10617	attach:019f1a19-ec49-74d8-bc2c-eb03904a988c
10618	attach:019f1a19-ec4f-72c5-88de-3651b2e6afcf
10619	attach:019f1a19-ec53-76c9-8d3c-60a9cb5af6a3
10620	attach:019f1a19-ec57-7022-a852-0c0d18b18974
10621	attach:019f1a19-ecd7-7471-b7ca-9b0706341f8b
10622	attach:019f1a19-ecdd-72bc-a30c-2919e1e7674e
10623	attach:019f1a19-ece3-7031-afaf-28a66f87c4ab
10625	attach:019f1a19-ed05-7479-a1ea-5501a764804e
10628	attach:019f1a19-ed16-7030-aee3-16d4a6c93768
10630	attach:019f1a19-ed3d-70da-b45e-397ee48c604e
10631	attach:019f1a19-edde-7279-a224-76e45f5af160
10634	attach:019f1a19-eded-739a-95ab-fc30ddad1183
